textID,text,selected_text,sentiment
3b7a3199db," I made room...I don`t have a bed from how much room I made and now I`m outta space for sure lol, and I know I`m pathetic",outta space,negative
185d56dfc3,which was so UNLIKE the POs in oakland. they hated me,they hated me,negative
275355d0ba,About to embark on a large tour of bars for a project.  Hopefully I won`t die from alcohol poisoning,Hopefully,positive
5b34a814eb,"NIN App Gets Rejected by Apple, Reznor Threatens to go Jailbreak - always entertaining  http://viigo.im/sXB",Rejected,negative
5e7fa13233,Hangin with the fam! My head is hurtin,My head is hurtin,negative
8e9885e7d7,Craving munchkins so bad.,bad.,negative
08318733dc,i hate having the same hair for too long. i think i want super looong hair now,i hate,negative
28c9dc4cc4,Exhausted after a 58 hour work week,Exhausted after a 58 hour work week,negative
56475b2fe0," lol nttn much juss mad that its been raining all day, and to add to that i dnt think u following me..",mad,negative
0888304834,this week of mine was not easy!  but finally it`s over! (:,not easy!,negative
be5fd8832f, SIGH  How are you?,SIGH,negative
d584cb3b7b,omg. cat had a hairball. awake now.,omg.,negative
e4e1bdbeb0," I`m sorry, Andrew. I wish there was something I could do...","sorry,",negative
7e263b31aa,i have the bigggest headache,headache,negative
86d25506a1,"gasp-- 10 followers! i feel almost famous. i used to think i would be famous when i grew up one day LOL. oh well, cheers to norm peeps!",cheers,positive
f4b27fbd80," What Makes Me Happy? My Daughter, My Family & Their Support, Money, Shopping, & Restaurants",Happy?,positive
c811396dc2,Layin n bed with a headache  ughhhh...waitin on your call...,headache,negative
f86533eda4,I nvr wanted May to come to an end,I nvr wanted May to come to an end,positive
0fb0ddcc61,at f***** work  .... want somebody to come ???,f***** work,negative
e0b9a78e6a, Goooood Morning Melody! Wishing you a Wonderful Mother`s Day with your family!,Wishing you a Wonderful Mother`s Day,positive
3bf7a25c9b,Happy Mothers Day!!!  <3,Happy Mothers Day!!!,positive
3212554935,Just chillin at home,chillin,positive
e01b822d1d,I just love it when  hot policemen come into my work,I just love it,positive
7dd0e2f478,wanted to go to the club...dancing;)..but now iï¿½m tired anyways i have to go to work tomorrow!,tired,negative
f8afc0cc2e, one thing is good enough for me. friendship retained!,good,positive
d13e2db603,"@_anh Hmm, tasty!  Going to have curry rice with peas probably. ;)",tasty!,positive
fd8bfa5d25,  really? ur a brave lady walkin around those lions then.  any other book suggestions?,a brave,positive
d614edff9e, I would but I`m afraid I got two left feet,I`m afraid,negative
63328aeb58,My brother just woke me up to help him with his homework. I`m not happy,I`m not happy,negative
713d1fbf1e,I have the weirdest hives all over my legs and arms. What the heck am I allergic to? It itches SO bad! Dang it!,I have the weirdest hives all over my legs and arms. What the heck am I allergic to? It itches SO bad! Dang it!,negative
faae6e2fa3,"Man, looking through and packing up my books is looking at my past lives. Feeling kind of sentimental",Feeling kind of sentimental,positive
c1f3197a61,Thanks to:      New followers!,Thanks,positive
7b69f49c42,tonight in party w/ my girls (minus vita),tonight in party w/ my girls (minus vita),positive
563e9ac291,The Star Trek movie was amazing! omg everyone has to go see it,amazing!,positive
c0bc97deed,Sometimes i feel pathetic going to bed so early. Oh well.  i TOTALLY get clam chowder tomorrow! =D,Sometimes i feel pathetic going to bed so early. Oh,negative
870375e4c9, that`s depressing,that`s depressing,negative
04a6326f33, It was BuckFast. Brain just went blank,Brain just went blank,negative
27ee482d09,_ yeah sorry i was busy last night  ill try and go next week!,sorry i was busy last night,negative
5c26699d0c, thats great babe!! congrats!!,thats great babe!! congrats!!,positive
21671fec73,  awww for me I just think she`s tooo young or just not ready for it - tis painful to watch her so upset,- tis painful to watch her so upset,negative
5e820a039e,It is going to be a beautiful day!,beautiful,positive
fb77a60a7f,"WOOT! favourtie, well second favourite episode just came on TOW ross and rachel ... you know","favourtie,",positive
e10cca457c,Trying to sleep without any pills... Not working. 3am and wide awake. But now it`s too late to take them because I`ll sleep til 3pm,now it`s too late,negative
e2e8eb98c1,Sad that when fitness center reopens will not have our Zumba class anymore.  Just found out today on our last class before closure.,Sad,negative
656e8ce767," *hugs* me not sad really, me just messing",sad,negative
071649bc91,Just found out I can`t drink at this bar! Booo missing e1 at palomino`s! No cheers sad face,No cheers sad face,negative
8fdb1a0357,just seen 1 of the fat single Mums from up the road 'seductively' sprawled across some poor blokes bonnet. He probably needs new shockers,sprawled,negative
5825c09bf0," http://twitpic.com/4jam0 - Ohhh, how lovely! I`m glad that you had a great time there.","Ohhh, how lovely! I`m glad that you had a great time there.",positive
0c5aba1b97,i can`t stop listening to  new single! (paranoid) it`s so amazing. i love them.,amazing.,positive
a2bc3f79a8, Have a nice Sunday  ****,nice,positive
37f6d9dc72,The cats are gone. All 3 of them.,cats are gone.,negative
a6b7af3705, yeah unfortuantley  Sam hanks **** bowl that he like rolled along the floor got me out  grr,unfortuantley,negative
e5740887a5,Why is  scared or  lmao.. Someone pls tell me!!,Why is  scared or  lmao.. Someone pls tell me!!,negative
dc7f2b6061,"Much to my surprise, I was using my credit card before the crack dawn to do some serious online gambling. One problem: it wasn`t me.",One problem: it wasn`t me.,negative
36ab892bcc,I wish I could go to the Love Music Hate Racism gig this weekend   I`m not in the right part of the world even,Hate Racism gig this weekend   I`m not in the right part of the world even,negative
c70799b526,Having Fever  dont feel to work,Having Fever  dont feel to work,negative
4823447b06, ohhhh excellent song..hello my friend!,excellent,positive
565a7e6767,Good morning my little twitternut squashes   How are you all today? whats the weather like where you are?,Good,positive
0654536ed4, Wow  That had to be difficult,Wow  That had to be difficult,negative
beb4d5f6e0,"we went, we bought, we conquered! and we came back with the most delicious custard croissant","we went, we bought, we conquered! and we came back with the most delicious custard croissant",positive
89e499129e, just make sure you have it well done,well done,positive
e6d8f20e29, lol! I don`t know! but you dont need the plant! I`ll give you a hug instead! Hugs!,hug,positive
7770608771," thank you for accepting my request!! must take care of my little girl, maybe i write back later",thank you,positive
22adf200c3,"Also I popped the phone open and got all that goddamn dust out, but I wore out a clip on the camera panel so I had to glue it shut",goddamn,negative
744a347fe1,Heading home after a long week. Wish someone onther than marketers would follow me,Wish,positive
5721fa2f20, awesome. lemme see when you`re done.,awesome.,positive
093280e439," don`t worry though,he will be fine","don`t worry though,he will be fine",positive
cc4b78e4ef,  I need to come spend some time on your roof - I miss you &     double date in a couple of weeks?,I miss,negative
787a0ada33,All moved in to our new apartment. So exciting,So exciting,positive
b2a94bb689,Had a nice dinner with mom! I`ve started the chicken rolls. They are going to cook overnight. The rest I`ll do tomorrow.,Had a nice dinner with mom!,positive
392d2d7d69,"_jean Now that I think about it, when I get to the States, they`ll probably still be touring, so they won`t be there  Dammit!",Dammit!,negative
114c455aa7, http://twitpic.com/6714p - I feel really emotional  Its been great seeing your pics and keeping up with you.  Gonna m ...,- I feel really emotional  Its been great seeing your pics and keeping up with you.  Gonna,positive
38ae26b088,just woke up day off and need to go in to work that sucks. Also have to go dentist for filling at 12 then st helens for mri scan at 2,go in to work that sucks.,negative
01879ae972,Swiped the last package of fruit snacks! Hell yeah. Finished Catch-22. What shall I read next?!? I`m such a nerd,nerd,negative
66561d0e29,_radio yeah :S i feel all funny cause i haven`t slept enough  i woke my mum up cause i was singing she`s not impressed :S you?,i was singing she`s not impressed,negative
3c14b2b292,[Somewhere - Within Temptation] returned to mysefl. Keep working hard till June,hard,negative
0425b77102,friday.....i have nothing to do so sad,friday.....i have nothing to do so sad,negative
0f6aa44918, my kid is sick too tho..i can`t do it by myself.  i can`t go there by myself like a crazy stalker,my kid is sick too,negative
fa0daf343f,"please do not let me get obsessed, whatever or whoever is in charge of my actions  you`ve been doing such a bad job lately",bad,negative
d8fabc4d21,My aim is not working due to network problems,My aim is not working due to network problems,negative
23973dbda1,"Great, just great. #Cookoutofthecentury and my wife`s tummy hurts. Just. Great.",wife`s tummy hurts. Just. Great.,negative
c5fbcd3afa, u no there was no point pointing it out yesterday and ppl had 2 wait til midnight .... they were kinda pissed,they were kinda pissed,negative
6350f2df5c,"Sometimes, twitter makes me feel like an outsider..",outsider..,negative
58d1675286,My boss called me anerexic,anerexic,negative
301f7824f5,"Yes, I love tea. If that makes me typically English then so be it","Yes, I love tea.",positive
078f052480,still aint get my vanilla frosty yet.,still aint get,negative
de81efb359," Don`t worry, you`ll get your stamina back soon  What kind of distances do you run usually?","Don`t worry,",positive
235e9a1055,Just reached my Cellgroup leader`s house and he is surprised that I`m dry. Haha.  - http://tweet.sg,surprised,negative
a2bc5989f0, that was funny! LOVED IT! I almost fell for it. Haha,LOVED,positive
a30aefa0bb,Ugh! I just realized that I have to completely redo my tweetdeck groups! Pains of computer being wiped clean!,Ugh! I just realized that I have to completely redo my tweetdeck groups! Pains of computer being wiped clean!,negative
9b2c637d64," 'And I`m packing your ANGRY eyes, just incase'",ANGRY,negative
6b9c032583, Thanks for making me laugh,Thanks for making me laugh,positive
aee80f7dd0,#BGT  ooooh tooo weird for me,weird,negative
a4b3f1c3f5,Ohhhhh what a line,Ohhhhh what a line,positive
900a88bb34,Missing my baby ducks,Missing my baby ducks,negative
768be03583, that frenchfry-corndog looks so delish! I WANT!!  Welcome back to Seattle!,Welcome,positive
84c0695a49, YES. He`s fascinating. I love his bedroom.. oh my God. The books.,He`s fascinating. I love his bedroom..,positive
5a45a070ed,Cathylo-fran! I`m glad i can vent out to you about this. Thanks for being here for me bestfriend,Cathylo-fran! I`m glad i can vent out to you about this. Thanks for being here for me bestfriend,positive
8f7a930625,At the library  being friggin bored.,bored.,negative
5f4cee73bd,"i have twitter, sooo i`m pretty **** cool now",cool,positive
fb0373bd97, Fail.    If you fancy a pit stop and a cuppa you know where I am!  lol,Fail.,negative
98a6472d26,NEED SUMTHING FOR THIS EXCRUCIATING HEADACHE,HEADACHE,negative
31d614d03e,don`t want to go!!!,don`t want to go!!!,negative
266e76dd91,oh i hate friday evening.,hate,negative
46064edbac,Fog horn of DOOM! A great way to start the morning... living next to the harbour is really great,great,positive
cd74b1835d, you will be great! Have a wonderful first day,you will be great! Have a wonderful first day,positive
02e959833e, Aw Yay,Yay,positive
9864618eca,fucken tired as ****  it`s sunny.. good day? deffff,fucken tired as ****,negative
327f200c22,I`m bored. No internet. I haven`t made it downtown or to the beach yet.,I`m bored. No internet. I haven`t made it downtown or to the beach yet.,negative
e807ce8289,Moving today!!  I`m so excited!,I`m so excited!,positive
7f392f9c06,The time is not my friend today,The time is not my friend today,negative
eaba181d46, prolly E71... I can`t think of anything else and I`m unfortunately not a Singtel customer,unfortunately,negative
fc7e0cb9eb,"Some of the figures quoted are so wildly optimistic, they are the stuff of science fiction.  A bit disapointed in CIBER and SABIP",A bit disapointed in CIBER and SABIP,negative
f69065d1c0,I saw nomes on twitter  but I`m still not waking up,still not waking up,negative
d3cbef0a68, I know  I think I`m like dieing!,I know  I think I`m like dieing!,negative
51f650a1a9,  glad you liked it-  he`s done loads of arrangements but that was the only one i could find on blip,glad you liked it-,positive
b81ccfae03, diggin` your moustachio! Looking good daddio!,Looking good daddio!,positive
95c439d73d, Awwwww!!!! And the gorgeous photo from California!!! You two make me melt!!!,gorgeous,positive
c3d49f5186, Lol at the VATS on The Insiders,Lol,positive
68b8eb5800, oh em i`m sorry  i wuv you to pieces,oh em i`m sorry  i wuv you to pieces,negative
19efa0718c,"Ok, WTF?! Why do you have something on your menu *in the window* if you don`t sell it?! I wanted my bubble tea",WTF?!,negative
94770b2f44,ItS fRiDaY... I cAn`T wAiT tO bE dOnE wItH wOrK!!! Stuck here till 11,Stuck here till 11,negative
f95a37748e,"amazing, my brand new PARI neb broke. go figure. and it`s the weekend. looks like i won`t be getting another one until next week.  *sigh*","amazing,",positive
8469bc26d8,"Yogurting. Home from lady Mona`s, on the fone w no song from Yoplait. Lookin forward to hrs w  tmorrow & rehearsals  Gnight all!",Lookin forward to,positive
d3d5803902,"awesome milkshakes, i had areo mint,. we just blended it up, it was like a lumpy smoothie  so then we did some more chattering and ...",awesome,positive
faaf89e7d6," you drank it on the sly, didn`t you and that`s why you`re asking. I know how you are","you drank it on the sly,",negative
553aac5c32, aww im sorry im home now hope your ok  i love ya wifey <3 ****,aww im sorry,negative
88048c4a8c, join the club dougie i have a cold too  x,cold,negative
c930341ca9, Very funny Thanks,Very funny Thanks,positive
d92016105e,"The top 5 words I`ve tweeted: hug, good, people, fun, twitter. http://tinyurl.com/dcxoty ... that`s really quite nice",that`s really quite nice,positive
b8f4bfe61a,trying to fix some weird query,trying to fix some weird query,negative
7d41dbe15c, ... but i could barely speak! He was probably thinking `who is the weirdo?` LOOOOL. Say sorry to him for me please?  x <3,sorry,negative
e858f93fc8," Thank you  I liked Joe`s clothes` being ripped off and then Kevin screaming, 'Who are you!?!' XD",I liked,positive
54fed64ecb,Last free Friday.,Last free Friday.,negative
85743009cc,"Thanks for the concern, guys. A few stitches later, all is well. Whew.",Thanks,positive
4bcc752aaa, http://twitpic.com/4nbx4 - great photo! bravi! we are looking forward for the upcoming pilot in Italy too,great photo!,positive
0ebad3fff0,"**** it, the guys aren`t at #comet09  I hope they win though",hope,positive
6df2b65239,"In French trois, nobody is sitting next to me. I feel a little lonely...",I feel a little lonely...,negative
3f8b550bdb,i have a feeling today is going to be amazing,amazing,positive
80120a1a77,Twitter has been foking up for me today arg!  1 and 1/2 hours of work till the weekend! Woooooo,Twitter has been foking up for me today arg!,negative
59d23b3db7,so very irratated,so very irratated,negative
c91e37431a, You`re welcome,You`re welcome,positive
462a5b943e, It was on March 22nd in UK..today all quiet here regarding mothers day  Very sweet of u to wish though..thanks!,Very sweet of,positive
c351189e45, i think you should come tomarrow....because i was really really really looking foreword to seeing you.......please come?,i think you should come tomarrow....because i was really really really looking foreword to seeing you.......please come?,positive
63229806e5,Last week of class... Well technically classes are over just have two exams  and summmmmerrrrr begins...yeahhhhhyaaaaaa,summmmmerrrrr begins...yeahhhhhyaaaaaa,positive
ccb6a460e2,just ran some ACCELA unit tests for the first time in about 2 years... and they failed,they failed,negative
13611b97ae,"i HATE when i see pregnant women smokinggg!!!! its sooo irresponsible n selfish! its saaad. ultimately, the baby is the one who suffers.",i HATE when i see pregnant women smokinggg!!!!,negative
a8c2579b73,Celebrating the fact that Norwich City got relegated yesterday.  Seems like myself and the awfully nice Mr Fry are football rivals!,awfully,negative
433cb03f2a,tummy hurts,tummy hurts,negative
9f80c14324,i`m so mad that im going to be missing the maine tomorrow because it takes all effing day to fly to florida,i`m so mad that im going to be missing the maine tomorrow because it takes all effing day to fly to florida,negative
a3c03380ec, courtney seems like a cool chick & shes pretty,pretty,positive
b1d477fb9c,I`m trying to figure out how on earth I am supposed to be able to update my statuses via my phone. Someone help meeee!,help,positive
9b67b05a3e, heey  your awsome. god bless.,heey  your awsome. god bless.,positive
022157e66f,_Fangirl Won`t let me watch since i`m in the states.  Boo.,Won`t let me watch,negative
cd378b09d0,Not to mention hw fat ima get frm wrk n here.,fat,negative
20346669cc,Facebook.com isint letting me change my profile picture,isint letting me,negative
3ee09d7a21,"I miss the old... HA, HA. I can`t tell that person`s name.",miss,negative
e0361a33f0,"my littelist fish, udon, is dearly departed",dearly departed,negative
7640d8aa07,"_crazyangel oh noooo, did he not get through?","oh noooo, did he not get through?",negative
15d8114f36,my love makes me sooo happy,happy,positive
e78dbb2c35, wish i coulda been there,wish,positive
b17e92da44," the music in the trailer was terrible imo, cheesy handbag house. I was expecting some dnb or hard house",terrible,negative
f9e0a2422d,enjoying my coffee with this super delicious cookie,delicious,negative
f66986e868," Sure, its easier to login every day and make posts as an admin or mod, but ill try",its easier to login every day,positive
